max_replenish,symbol,period_start,period_end,segments,trades,trade_win_rate,segment_win_rate,sum_pnl_per_capital,return_pct,worst_segment,median_drawdown,risk_stop_rate,max_gross_units,max_abs_net_units,loser_timeout_rate,tp_rate,forced_rate,sharpe_r,max_drawdown_r,replenish_trades
0,BTCUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,108.0,52.0,0.9230769230769231,0.39814814814814814,0.10825023807350805,10.825023807350805,-0.0005443098096691979,0.0,0.0,2.0,nan,0.0,0.6346153846153846,0.36538461538461536,32.81881772846681,-0.0032223218223034838,0
0,ETHUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,127.0,69.0,0.9130434782608695,0.4251968503937008,0.1302981985350903,13.02981985350903,-0.0009691688506358803,0.0,0.0,2.0,nan,0.0,0.5217391304347826,0.4782608695652174,24.83134785796267,-0.004947195089198244,0
0,SOLUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,96.0,70.0,0.8142857142857143,0.46875,0.15379926136527708,15.379926136527708,-0.00810144711744621,0.0,0.0,2.0,nan,0.0,0.5428571428571428,0.45714285714285713,14.828201949709443,-0.009421647923035301,0
0,BNBUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,105.0,59.0,0.864406779661017,0.3904761904761905,0.10824415094085821,10.82441509408582,-0.00243931888752634,0.0,0.0,2.0,nan,0.0,0.5932203389830508,0.4067796610169492,18.773663803984295,-0.0036457301584919754,0
0,XRPUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,106.0,68.0,0.8235294117647058,0.41509433962264153,0.14653113893841432,14.653113893841432,-0.0046744904425034105,0.0,0.0,2.0,nan,0.0,0.6323529411764706,0.36764705882352944,21.1739737905633,-0.0048751337892813384,0
0,ADAUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,99.0,83.0,0.8433734939759037,0.6161616161616161,0.19905664937862425,19.905664937862426,-0.0032082233409265297,-9.99999999999994e-05,0.0,3.0,nan,0.0,0.6144578313253012,0.3855421686746988,21.185099739854643,-0.004369582488713577,0
1,BTCUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,108.0,62.0,0.8870967741935484,0.39814814814814814,0.11737007776887275,11.737007776887275,-0.0005443098096691979,0.0,0.0,2.0,nan,0.0,0.5806451612903226,0.41935483870967744,26.103004690191987,-0.0032223218223034838,3
1,ETHUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,127.0,86.0,0.9069767441860465,0.4251968503937008,0.1667332210179741,16.67332210179741,-0.0009691688506358803,0.0,0.0,3.0,nan,0.0,0.5232558139534884,0.47674418604651164,25.631836760767037,-0.008834015887383941,9
1,SOLUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,96.0,81.0,0.8024691358024691,0.46875,0.17395672249121988,17.395672249121986,-0.00810144711744621,0.0,0.0,2.0,nan,0.0,0.5432098765432098,0.4567901234567901,14.722820284745433,-0.009421647923035301,6
1,BNBUSDT,2022-01-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,105.0,67.0,0.8656716417910447,0.3904761904761905,0.12441014174185233,12.441014174185232,-0.00243931888752634,0.0,0.0,2.0,nan,0.0,0.582089552238806,0.417910447761194,19.56463534280557,-0.0036457301584919754,4
