symbol,side,entry_price,exit_price,entry_time,exit_time,atr,pnl_r,pnl_usd,exit_reason,archetype,tier,evidence,bars_held,is_add_position,is_reverse,size_multiplier,atr_stop_pct,effective_stop_pct,sizing_stop_source,breakeven_locked_at_exit
BTCUSDT,SHORT,57113.30620321149,60595.802216750286,2024-05-01T10:00:00+00:00,2024-05-03T12:47:00+00:00,870.6240033846982,-1.0135,-3482.496,sl,me,global,0.5,3046,False,False,1.0,0.060975,0.060975,atr,False
BTCUSDT,LONG,61644.015815141036,59418.253761861895,2024-05-03T14:00:00+00:00,2024-06-24T19:55:00+00:00,839.4408844868943,-0.6773,-2225.7621,trailing_sl,me,global,0.5,75234,False,False,1.0,0.05447,0.05447,atr,False
BTCUSDT,LONG,62687.30863629128,59418.253761861895,2024-05-03T22:00:00+00:00,2024-06-24T19:55:00+00:00,808.4582800361497,-3.2832,-3269.0549,sl,me,default,0.0,74754,True,False,0.8,0.0,0.0,none,False
BTCUSDT,LONG,62840.69981571441,59418.253761861895,2024-05-04T00:00:00+00:00,2024-06-24T19:55:00+00:00,795.1857687592882,-2.1827,-3422.4461,sl,me,default,0.0,74634,True,False,0.5,0.0,0.0,none,False
BTCUSDT,LONG,63393.803041255436,59418.253761861895,2024-05-04T06:00:00+00:00,2024-06-24T19:55:00+00:00,750.9356703385271,-1.6079,-3975.5493,sl,me,default,0.0,74274,True,False,0.3,0.0,0.0,none,False
BTCUSDT,SHORT,61795.79528156269,63491.380269467765,2024-06-25T16:00:00+00:00,2024-07-15T16:54:00+00:00,648.9517736073568,-0.6725,-1695.585,trailing_sl,me,global,0.5,28853,False,False,1.0,0.042006,0.042006,atr,False
BTCUSDT,SHORT,61379.70435674229,63491.380269467765,2024-06-25T18:00:00+00:00,2024-07-15T16:54:00+00:00,643.5533664928137,-2.6871,-2111.6759,sl,me,default,0.0,28733,True,False,0.8,0.0,0.0,none,False
BTCUSDT,SHORT,61002.165681112485,63491.380269467765,2024-06-26T20:00:00+00:00,2024-07-15T16:54:00+00:00,565.0231491928519,-2.2468,-2489.2146,sl,me,default,0.0,27173,True,False,0.5,0.0,0.0,none,False
BTCUSDT,SHORT,60794.04864829827,63491.380269467765,2024-06-27T06:00:00+00:00,2024-07-15T16:54:00+00:00,498.37827013217515,-1.6536,-2697.3316,sl,me,default,0.0,26573,True,False,0.3,0.0,0.0,none,False
BTCUSDT,LONG,64853.53259858515,61672.959521010016,2024-07-16T16:00:00+00:00,2024-08-02T21:29:00+00:00,795.1432693937837,-1.0159,-3180.5731,trailing_sl,me,global,0.5,24808,False,False,1.0,0.049042,0.049042,atr,False
BTCUSDT,LONG,65643.70348682097,61672.959521010016,2024-07-17T02:00:00+00:00,2024-08-02T21:29:00+00:00,834.7644772899454,-3.8542,-3970.744,sl,me,default,0.0,24208,True,False,0.8,0.0,0.0,none,False
BTCUSDT,LONG,65676.57280361759,61672.959521010016,2024-07-17T04:00:00+00:00,2024-08-02T21:29:00+00:00,808.5138324592266,-2.5074,-4003.6133,sl,me,default,0.0,24088,True,False,0.5,0.0,0.0,none,False
BTCUSDT,LONG,66718.85823690954,61672.959521010016,2024-07-19T18:00:00+00:00,2024-08-02T21:29:00+00:00,686.9344247953248,-2.2261,-5045.8987,sl,me,default,0.0,20368,True,False,0.3,0.0,0.0,none,False
