symbol,side,entry_price,exit_price,entry_time,exit_time,atr,pnl_r,pnl_usd,exit_reason,archetype,tier,evidence,bars_held,is_add_position,is_reverse,size_multiplier,atr_stop_pct,effective_stop_pct,sizing_stop_source,breakeven_locked_at_exit
BTCUSDT,SHORT,57865.901727086486,61437.201043190966,2024-05-01T12:00:00+00:00,2024-05-03T13:32:00+00:00,878.8323190515541,-1.0134,-3571.2993,sl,srb,global,0.5,2971,False,False,1.0,0.091124,0.061717,structural_opposite_sr,False
BTCUSDT,LONG,62934.601153185125,68304.0508123755,2024-05-04T08:00:00+00:00,2024-05-23T13:49:00+00:00,734.1975748638961,1.1499,5369.4497,trailing_sl,srb,global,0.5,27708,False,False,1.0,0.069996,0.07347,structural_opposite_sr,False
BTCUSDT,LONG,63710.206709001286,68304.0508123755,2024-05-04T14:00:00+00:00,2024-05-23T13:49:00+00:00,746.8589472868961,4.8641,4593.8441,sl,srb,default,0.0,27348,True,False,0.8,0.0,0.0,none,False
BTCUSDT,LONG,63893.52694347212,68304.0508123755,2024-05-04T20:00:00+00:00,2024-05-23T13:49:00+00:00,690.1697306823002,3.1569,4410.5239,sl,srb,default,0.0,26988,True,False,0.5,0.0,0.0,none,False
BTCUSDT,LONG,64079.02329659869,68304.0508123755,2024-05-05T14:00:00+00:00,2024-05-23T13:49:00+00:00,611.3189890336481,2.0474,4225.0275,sl,srb,default,0.0,25908,True,False,0.3,0.0,0.0,none,False
BTCUSDT,LONG,69105.28540645195,68107.98926465235,2024-05-27T02:00:00+00:00,2024-05-28T03:35:00+00:00,408.7470639357188,-1.055,-997.2961,sl,srb,global,0.5,1534,False,False,1.0,0.035489,0.014432,structural_opposite_sr,False
BTCUSDT,LONG,68673.18900836355,66877.74351266462,2024-05-30T20:00:00+00:00,2024-05-31T16:18:00+00:00,619.2909929395001,-1.0302,-1795.4455,sl,srb,global,0.5,1217,False,False,1.0,0.054108,0.026145,structural_opposite_sr,False
BTCUSDT,LONG,69619.88361358749,67118.76824211297,2024-06-03T16:00:00+00:00,2024-06-11T09:49:00+00:00,537.4835809624819,-1.0219,-2501.1154,sl,srb,global,0.5,11148,False,False,1.0,0.046322,0.035925,structural_opposite_sr,False
BTCUSDT,SHORT,61266.18716226174,57824.802013355395,2024-06-24T12:00:00+00:00,2024-07-06T16:38:00+00:00,473.7553034123656,0.978,3441.3851,trailing_sl,srb,global,0.5,17557,False,False,1.0,0.046396,0.056639,structural_opposite_sr,False
BTCUSDT,SHORT,60771.209625930096,57824.802013355395,2024-06-24T16:00:00+00:00,2024-07-06T16:38:00+00:00,519.7225869797354,4.4623,2946.4076,sl,srb,default,0.0,17317,True,False,0.8,0.0,0.0,none,False
BTCUSDT,SHORT,55728.94708026987,58841.74620918111,2024-07-08T16:00:00+00:00,2024-07-10T04:07:00+00:00,912.9242362149107,-1.0147,-3112.7991,sl,srb,global,0.5,2166,False,False,1.0,0.098289,0.055856,structural_opposite_sr,False
BTCUSDT,SHORT,57583.23647446662,59658.96878705416,2024-07-12T22:00:00+00:00,2024-07-13T23:13:00+00:00,617.138752386727,-1.0226,-2075.7323,sl,srb,global,0.5,1512,False,False,1.0,0.064304,0.036048,structural_opposite_sr,False
BTCUSDT,LONG,64503.21973460308,65951.74089347124,2024-07-16T18:00:00+00:00,2024-07-30T00:21:00+00:00,808.2055336566901,0.3858,1448.5212,trailing_sl,srb,global,0.5,19100,False,False,1.0,0.075178,0.056113,structural_opposite_sr,False
BTCUSDT,LONG,68819.20071911327,65951.74089347124,2024-07-27T16:00:00+00:00,2024-07-30T00:21:00+00:00,568.9755467682465,-4.1075,-2867.4598,sl,srb,default,0.0,3380,True,False,0.8,0.0,0.0,none,False
BTCUSDT,LONG,68484.13941623048,65951.74089347124,2024-07-27T18:00:00+00:00,2024-07-30T00:21:00+00:00,565.8936020731221,-2.285,-2532.3985,sl,srb,default,0.0,3260,True,False,0.5,0.0,0.0,none,False
BTCUSDT,LONG,68216.72220381351,65951.74089347124,2024-07-27T20:00:00+00:00,2024-07-30T00:21:00+00:00,606.4490660815676,-1.147,-2264.9813,sl,srb,default,0.0,3140,True,False,0.3,0.0,0.0,none,False
BTCUSDT,SHORT,63457.78220309443,55830.538835696076,2024-08-01T20:00:00+00:00,2024-08-06T00:59:00+00:00,679.488435359036,2.0661,7627.2434,trailing_sl,srb,global,0.5,6058,False,False,1.0,0.064246,0.057811,structural_opposite_sr,True
BTCUSDT,SHORT,60830.58697141916,55830.538835696076,2024-08-04T14:00:00+00:00,2024-08-06T00:59:00+00:00,629.5354973447204,6.2947,5000.0481,sl,srb,default,0.0,2098,True,False,0.8,0.0,0.0,none,False
BTCUSDT,SHORT,58272.36132010083,62005.22719363844,2024-08-12T10:00:00+00:00,2024-08-23T14:14:00+00:00,646.2112085677929,-1.0129,-3732.8659,sl,srb,global,0.5,16093,False,False,1.0,0.066537,0.064059,structural_opposite_sr,False
BTCUSDT,LONG,63797.72888454196,59751.795806139926,2024-08-24T02:00:00+00:00,2024-08-27T22:07:00+00:00,708.8549079317481,-1.0122,-4045.9331,sl,srb,global,0.5,5526,False,False,1.0,0.066666,0.063418,structural_opposite_sr,False
BTCUSDT,LONG,64156.70010338208,59751.795806139926,2024-08-25T20:00:00+00:00,2024-08-27T22:07:00+00:00,387.6821408660972,-9.192,-4404.9043,sl,srb,default,0.0,3006,True,False,0.8,0.0,0.0,none,False
BTCUSDT,SHORT,56974.01299671552,56160.464698248936,2024-09-05T14:00:00+00:00,2024-09-09T16:22:00+00:00,563.1338180560558,0.431,813.5483,trailing_sl,srb,global,0.5,5901,False,False,1.0,0.059304,0.031289,structural_opposite_sr,False
BTCUSDT,SHORT,58150.28317669767,60578.50958189222,2024-09-16T18:00:00+00:00,2024-09-17T15:03:00+00:00,479.30357644307475,-1.0196,-2428.2264,sl,srb,global,0.5,1262,False,False,1.0,0.049455,0.041758,structural_opposite_sr,False
BTCUSDT,LONG,63252.10264073662,59724.858245317984,2024-09-19T20:00:00+00:00,2024-10-10T17:53:00+00:00,643.7954584358565,-0.8183,-3527.2444,structural_exit_l3,srb,global,0.5,30112,False,False,1.0,0.061069,0.069098,structural_opposite_sr,False
BTCUSDT,LONG,62762.643950013306,65207.32433039407,2024-10-12T06:00:00+00:00,2024-10-15T15:06:00+00:00,477.09254021429996,0.5913,2444.6804,trailing_sl,srb,global,0.5,4865,False,False,1.0,0.045609,0.064496,structural_opposite_sr,False
BTCUSDT,LONG,66815.56834541964,72351.70421394918,2024-10-15T18:00:00+00:00,2024-10-31T00:00:00+00:00,829.5894703634557,1.1495,5536.1359,end_of_backtest,srb,global,0.5,21945,False,False,1.0,0.074497,0.071358,structural_opposite_sr,False
