symbol,side,entry_price,exit_price,entry_time,exit_time,atr,pnl_r,pnl_usd,exit_reason,archetype,tier,evidence,bars_held,is_add_position,is_reverse,size_multiplier,atr_stop_pct,effective_stop_pct,sizing_stop_source,breakeven_locked_at_exit
BTCUSDT,LONG,62706.788266591575,68671.22106998342,2024-05-13T12:00:00+00:00,2024-05-23T13:43:00+00:00,543.2662879311715,2.4958,5964.4328,trailing_sl,srb,global,0.5,14502,False,False,1.0,0.051982,0.037775,structural_opposite_sr,True
BTCUSDT,LONG,66115.03083428937,68671.22106998342,2024-05-16T08:00:00+00:00,2024-05-23T13:43:00+00:00,606.6705194071174,3.2997,2556.1902,sl,srb,default,0.0,10422,True,False,0.8,0.0,0.0,none,False
BTCUSDT,LONG,66330.50871080502,68671.22106998342,2024-05-16T10:00:00+00:00,2024-05-23T13:43:00+00:00,584.7905397843514,1.9552,2340.7124,sl,srb,default,0.0,10302,True,False,0.5,0.0,0.0,none,False
BTCUSDT,LONG,66477.17111741148,68671.22106998342,2024-05-16T12:00:00+00:00,2024-05-23T13:43:00+00:00,577.3844536210423,1.1119,2194.05,sl,srb,default,0.0,10182,True,False,0.3,0.0,0.0,none,False
BTCUSDT,LONG,69105.28540645195,68107.98926465235,2024-05-27T02:00:00+00:00,2024-05-28T03:35:00+00:00,408.7470639357188,-1.055,-997.2961,sl,srb,global,0.5,1534,False,False,1.0,0.035489,0.014432,structural_opposite_sr,False
BTCUSDT,LONG,68673.18900836355,66877.74351266462,2024-05-30T20:00:00+00:00,2024-05-31T16:18:00+00:00,619.2909929395001,-1.0302,-1795.4455,sl,srb,global,0.5,1217,False,False,1.0,0.054108,0.026145,structural_opposite_sr,False
BTCUSDT,LONG,69619.88361358749,67118.76824211297,2024-06-03T16:00:00+00:00,2024-06-11T09:49:00+00:00,537.4835809624819,-1.0219,-2501.1154,sl,srb,global,0.5,11148,False,False,1.0,0.046322,0.035925,structural_opposite_sr,False
BTCUSDT,SHORT,61266.18716226174,57824.802013355395,2024-06-24T12:00:00+00:00,2024-07-06T16:38:00+00:00,473.7553034123656,0.978,3441.3851,trailing_sl,srb,global,0.5,17557,False,False,1.0,0.046396,0.056639,structural_opposite_sr,False
BTCUSDT,SHORT,60771.209625930096,57824.802013355395,2024-06-24T16:00:00+00:00,2024-07-06T16:38:00+00:00,519.7225869797354,4.4623,2946.4076,sl,srb,default,0.0,17317,True,False,0.8,0.0,0.0,none,False
BTCUSDT,LONG,68819.20071911327,65451.159656503376,2024-07-27T16:00:00+00:00,2024-07-30T20:09:00+00:00,568.9755467682465,-1.0159,-3368.0411,sl,srb,global,0.5,4568,False,False,1.0,0.049606,0.04894,structural_opposite_sr,False
BTCUSDT,SHORT,63457.78220309443,55830.538835696076,2024-08-01T20:00:00+00:00,2024-08-06T00:59:00+00:00,679.488435359036,2.0661,7627.2434,trailing_sl,srb,global,0.5,6058,False,False,1.0,0.064246,0.057811,structural_opposite_sr,True
BTCUSDT,SHORT,60830.58697141916,55830.538835696076,2024-08-04T14:00:00+00:00,2024-08-06T00:59:00+00:00,629.5354973447204,6.2947,5000.0481,sl,srb,default,0.0,2098,True,False,0.8,0.0,0.0,none,False
BTCUSDT,SHORT,58386.87600795972,60442.00651160272,2024-08-19T12:00:00+00:00,2024-08-20T00:31:00+00:00,475.43708004826937,-1.0231,-2055.1305,sl,srb,global,0.5,750,False,False,1.0,0.048857,0.035199,structural_opposite_sr,False
BTCUSDT,SHORT,59347.670714754466,55914.57564989919,2024-08-28T02:00:00+00:00,2024-09-09T16:13:00+00:00,654.879838927757,0.68,3433.0951,trailing_sl,srb,global,0.5,18132,False,False,1.0,0.066208,0.083929,structural_opposite_sr,False
