month,symbol,side,entry_time,entry_price,pnl_r,exit_reason,bars_held,fer_ols_pos,range_pos_20,bb_position,wide_sr_side,ols_mid,ols_width
2023-09,ETHUSDT,LONG,2023-09-02T12:00:00+00:00,1634.0002678577328,-1.1264,sl,3067,0.0,0.6523795223076976,0.5050831397591132,0.0,1667.283395341313,61.40969877726509
2023-09,ETHUSDT,SHORT,2023-09-06T22:00:00+00:00,1631.5718408850998,-1.1151,sl,1384,1.0,0.39361350082452956,0.5135997266343995,0.0,1608.781187919935,40.245825081132196
2023-09,ETHUSDT,SHORT,2023-09-26T22:00:00+00:00,1588.2856750531653,-1.159,sl,354,1.0,0.8659356847250107,0.7546180972697519,0.0,1571.8680067195126,25.163242751584633
2023-10,BTCUSDT,LONG,2023-10-04T18:00:00+00:00,27525.10622134741,0.9645,trailing_sl,82,0.10350457597716013,0.6674709893694221,0.86457389036143,0.0,27853.741513351277,627.1181542339746
2023-10,ETHUSDT,SHORT,2023-10-14T14:00:00+00:00,1551.261318510027,-1.1436,sl,428,1.0,0.5313498006174818,0.8620782592667128,0.0,1524.561935726741,27.05518407954975
2023-10,ETHUSDT,LONG,2023-10-27T12:00:00+00:00,1781.7949697100098,-1.0671,sl,306,0.0,0.27618638493368364,0.42337160914379607,0.0,1846.8332326476022,68.96622346977351
2023-11,SOLUSDT,LONG,2023-11-07T04:00:00+00:00,40.81972197508897,3.4572,trailing_sl,918,0.21948981779411364,0.679501052251942,0.8111347551478348,0.0,42.52719308668577,3.7957493538387665
2023-11,ETHUSDT,LONG,2023-11-14T08:00:00+00:00,2062.1965182321223,-1.0705,sl,203,0.0,0.20397199517386128,0.35283647185242206,0.0,2116.901764090801,104.91231016155794
2023-11,SOLUSDT,LONG,2023-11-14T14:00:00+00:00,55.68673776295788,-1.0191,sl,282,0.0,0.5622515351345236,0.5700668608491246,0.0,60.28790228594962,6.4665793394622
2023-12,SOLUSDT,LONG,2023-12-27T14:00:00+00:00,111.36688513037348,-1.0251,sl,26,0.0,0.234067214829312,0.20244539477359622,0.0,122.53656153845867,11.949579466696102
2024-01,XRPUSDT,SHORT,2024-01-10T10:00:00+00:00,0.5663626970106745,1.5866,trailing_sl,182,0.8488272943559216,0.3059489601551407,0.2610986997493976,0.0,0.5532087576949664,0.02975305815850944
2024-02,SOLUSDT,LONG,2024-02-01T22:00:00+00:00,97.91597352566822,1.2865,trailing_sl,639,0.0,0.49237902312361814,0.5441678599261204,0.0,102.38913394050357,6.82334081308796
2024-02,XRPUSDT,SHORT,2024-02-03T10:00:00+00:00,0.5090530842790102,-1.1027,sl,21,1.0,0.8158280746185229,1.35079910275092,0.0,0.5007916466910635,0.01621524068870094
2024-02,BTCUSDT,LONG,2024-02-17T06:00:00+00:00,51941.32541898802,-1.0983,sl,446,0.0,0.47616369930120395,0.44522527250040883,0.0,52832.52843083997,1218.2446120346076
2024-02,BTCUSDT,LONG,2024-02-18T14:00:00+00:00,51668.55146182999,1.3925,trailing_sl,521,0.0,0.748567135694786,0.6195836792015424,0.0,52895.38269626736,1600.3787080753643
2024-02,ETHUSDT,LONG,2024-02-18T14:00:00+00:00,2789.0565696495373,1.3582,trailing_sl,316,0.0,0.8447139837044785,0.8022005238260416,0.0,2877.4500620447116,110.3610467556855
2024-02,BTCUSDT,SHORT,2024-02-26T04:00:00+00:00,51592.158116502746,1.8304,trailing_sl,370,0.9902085690046523,0.5504498243964536,0.4739337337788323,0.0,51245.865182035595,733.7979246716899
2024-03,ETHUSDT,LONG,2024-03-16T08:00:00+00:00,3743.334434650437,-1.0437,sl,206,0.0,0.39377373784662567,0.43018245402095345,0.0,3833.4266567918685,196.4710164004618
2024-03,ETHUSDT,LONG,2024-03-30T18:00:00+00:00,3535.411087331536,-1.0902,sl,69,0.0,0.32699139420233897,0.41082915376819024,0.0,3601.76640095318,151.42774855700398
2024-04,SOLUSDT,SHORT,2024-04-19T06:00:00+00:00,138.94957523580172,-1.0229,sl,46,1.0,0.8400082571746701,0.9810063192575383,0.0,126.90294961887382,16.865694637382134
2024-05,SOLUSDT,LONG,2024-05-22T22:00:00+00:00,180.3080789589766,-1.0458,sl,62,0.0,0.2722528946730784,0.22126192102230047,0.0,186.0240660599045,9.683983224553101
2024-06,XRPUSDT,SHORT,2024-06-13T00:00:00+00:00,0.4915527070931288,0.992,trailing_sl,778,1.0,0.620138910469582,0.6484182974934322,0.0,0.4773513307639274,0.01539567099646064
2024-06,SOLUSDT,SHORT,2024-06-26T18:00:00+00:00,136.21277791490743,-1.0476,sl,960,1.0,0.6234533658225756,0.5814745865452852,0.0,133.30495640016147,7.113390322712984
2024-07,BTCUSDT,SHORT,2024-07-28T02:00:00+00:00,68056.04887807235,-1.0724,sl,1336,0.9079598388705551,0.45118180523753565,0.41466890715294447,0.0,66982.49204929592,2297.6677165163296
2024-08,XRPUSDT,LONG,2024-08-13T10:00:00+00:00,0.5687296152094008,0.9826,trailing_sl,498,0.1377553663742508,0.8803804796445452,0.8394763571830768,0.0,0.5995553729508689,0.06849507460722333
2024-09,ETHUSDT,SHORT,2024-09-03T06:00:00+00:00,2520.486939170754,2.6008,trailing_sl,684,1.0,0.743623822716163,0.6554228656867375,0.0,2455.1381577782345,113.15156784722046
2024-09,ETHUSDT,LONG,2024-09-17T06:00:00+00:00,2301.2168867144737,1.7241,trailing_sl,511,0.0,0.35327739031925215,0.5286776828363512,0.0,2354.557300423958,89.51552529164294
2024-09,BNBUSDT,LONG,2024-09-18T00:00:00+00:00,546.0058457628531,-1.0811,sl,589,0.07494810332389719,0.7316003620730493,0.6915013118101603,0.0,554.7784014523987,22.276382464971626
2024-09,ADAUSDT,SHORT,2024-09-21T00:00:00+00:00,0.3520642029250935,-1.0749,sl,815,0.934954136587165,0.2715733388585931,0.29758057943379684,0.0,0.3417561782293181,0.02091922244890316
2024-09,BNBUSDT,LONG,2024-09-27T00:00:00+00:00,596.482747092011,1.1899,trailing_sl,270,0.020200180002942245,0.6328651585412206,0.79190148657301,0.0,607.3827467224479,17.544000891894637
2024-10,ADAUSDT,SHORT,2024-10-06T00:00:00+00:00,0.3507011886255924,-1.0725,sl,1011,1.0,0.6229759405079963,0.5104868317378461,0.0,0.3343203755371051,0.02073480588803285
2024-10,ETHUSDT,SHORT,2024-10-06T22:00:00+00:00,2416.1054488181016,-1.1122,sl,60,1.0,0.7499878361178915,0.8475023739872273,0.0,2330.9276597637545,128.28449689594746
2024-10,ADAUSDT,LONG,2024-10-18T14:00:00+00:00,0.3468550281062929,1.9011,trailing_sl,838,0.19755459332353048,0.6469149664158437,0.6805317098557496,0.0,0.35337604496330544,0.01295460024323492
2024-10,SOLUSDT,LONG,2024-10-26T22:00:00+00:00,171.2529413077438,0.9585,trailing_sl,673,0.01299052029442029,0.6341274012420325,0.6291647543625837,0.0,174.6326186464845,7.9074180738113515
2024-11,XRPUSDT,LONG,2024-11-20T00:00:00+00:00,1.1008126493086643,-1.0233,sl,215,0.0,0.2894934303604579,0.39327496408002693,0.0,1.2206640528993833,0.13542476855780064
2024-12,BTCUSDT,LONG,2024-12-21T00:00:00+00:00,97764.9919852699,-1.0448,sl,1746,0.012626475411325692,0.4808468684465969,0.485829182993414,0.0,100394.39683202452,6274.345861472634
